Player Name,League,Squad,Country,Position,Annualized Salary
I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,"∂ 26,230,000"
P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,"∂ 10,180,000"
Z. Iqbal,A,Fanatical Outlaws,Galamily,DF,"∂ 27,000,000"
F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 19,740,000"
L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 27,030,000"
S. Anyait,A,Fanatical Outlaws,People's Land of Maneau,DF,"∂ 18,960,000"
J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,"∂ 8,020,000"
I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DFFW,"∂ 27,600,000"
J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DFFW,"∂ 23,030,000"
D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,"∂ 30,120,000"
I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,"∂ 25,950,000"
M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,FWDF,"∂ 27,750,000"
J. Akello,A,Fanatical Outlaws,Bernepamar,FWMF,"∂ 29,220,000"
I. Kamukama,A,Fanatical Outlaws,Lefghau,FWMF,"∂ 34,090,000"
W. Lew,A,Fanatical Outlaws,Nganion,FWMF,"∂ 23,090,000"
B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FWMF,"∂ 27,370,000"
D. John,A,Fanatical Outlaws,Pierrema,FWMF,"∂ 32,840,000"
S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,"∂ 17,580,000"
R. Chee,A,Fanatical Outlaws,Southslands,GK,"∂ 5,250,000"
F. Pop,A,Fanatical Outlaws,Galamily,MF,"∂ 32,160,000"
D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 21,620,000"
I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,"∂ 17,300,000"
E. Taylor,A,Fanatical Outlaws,People's Land of Maneau,MFFW,"∂ 32,720,000"
H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,"∂ 30,700,000"
Q. Hor,A,Fighting Cougars,Byasier Pujan,DF,"∂ 15,100,000"
D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 17,210,000"
G. Köhler,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 23,440,000"
I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 27,450,000"
K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 26,350,000"
U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,"∂ 15,200,000"
Y. Rabinovitch,A,Fighting Cougars,Western Niasland,DF,"∂ 15,950,000"
R. Petrenko,A,Fighting Cougars,Lefghau,DFMF,"∂ 18,590,000"
D. Kikuchi,A,Fighting Cougars,Nkasland Cronestan,DFMF,"∂ 19,140,000"
Z. ?no,A,Fighting Cougars,People's Land of Maneau,DFMF,"∂ 14,730,000"
W. Nabatanzi,A,Fighting Cougars,Esia,FW,"∂ 10,230,000"
V. Taheri,A,Fighting Cougars,People's Land of Maneau,FW,"∂ 28,630,000"
R. binti Hassan,A,Fighting Cougars,Southslands,FW,"∂ 18,910,000"
K. Gonçalves,A,Fighting Cougars,Quewenia,FWDF,"∂ 30,370,000"
G. Bellini,A,Fighting Cougars,Buhegeor,FWMF,"∂ 24,400,000"
L. Wafula,A,Fighting Cougars,Dosqaly,FWMF,"∂ 24,770,000"
M. Hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,"∂ 17,540,000"
F. Cho,A,Fighting Cougars,Southern Ristan,FWMF,"∂ 32,370,000"
Z. Marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,"∂ 22,740,000"
P. Robinson,A,Fighting Cougars,Nganion,GK,"∂ 22,460,000"
I. Azulay,A,Fighting Cougars,Byasier Pujan,MF,"∂ 21,300,000"
H. Narvaez,A,Fighting Cougars,Reugha,MF,"∂ 18,780,000"
R. Matovu,A,Fighting Cougars,Southslands,MF,"∂ 2,620,000"
P. Chew,A,Fighting Cougars,Esia,MFDF,"∂ 28,480,000"
O. Kia,A,Fighting Cougars,Western Niasland,MFDF,"∂ 23,910,000"
Q. Nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,"∂ 10,780,000"
I. Ocen,A,Fighting Cougars,People's Land of Maneau,MFFW,"∂ 28,360,000"
D. Daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 13,630,000"
F. Kembabazi,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 18,790,000"
F. Lieu,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 3,260,000"
H. Akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 18,580,000"
I. Akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 20,540,000"
T. Awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 17,100,000"
T. Barigye,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 15,110,000"
U. Ban,A,Great Galactic Gorgons,People's Land of Maneau,DF,"∂ 31,340,000"
I. Najjemba,A,Great Galactic Gorgons,Southslands,DF,"∂ 24,550,000"
X. Nalukenge,A,Great Galactic Gorgons,Southslands,DF,"∂ 25,340,000"
I. binti Omar,A,Great Galactic Gorgons,Djipines,DFMF,"∂ 20,450,000"
M. Ludwig,A,Great Galactic Gorgons,Rarita,DFMF,"∂ 11,910,000"
