"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"10","D. Oren","Central Diasongo","FW","Fanatical Outlaws",25,1994,25.14,0.32,2.22,1.05,49.11,2.25,1.11,0.03,0.35,10.31,-0.1,-0.07,-0.05,0.39,0.27,0.21,-0.08,0.01,25.28,20.62,30.39,68.05,292.58,58.7,12.34,17.36,71.64,5.92,8.8,67.93,1.32,1.97,67.21,0.12,0.02,-0.06,25.17,0.9,0.64,0.36,0.31,0.13,0.12,1.17,10.6,0.91,22.74,4.91,22,1.74,11.96,8.96,1.36,0.21,0.05,1.16,0.28,1.12,1.05,0.04,"A",2020
"11","F. Lubowa","Newgan Ruland","FW","Fanatical Outlaws",31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,1.29,15.81,18.35,86.45,261.72,41.79,4.96,5.73,85.8,6.66,7.52,88.89,1.65,1.61,100.09,-0.01,0.05,0,1.21,-0.04,-0.09,0.03,-0.06,-0.01,0.04,0.78,-0.06,0.87,21.6,4.94,23.13,-0.08,5.8,15.81,0.08,-0.09,-0.09,-0.05,0.91,0.91,-0.08,-0.06,"A",2020
"12","B. De Rosa","People's Land of Maneau","FW","Fanatical Outlaws",22,1996,10.1,0.19,2.38,0.74,29.18,2.31,0.78,0.1,0.19,17.86,-0.07,0.08,-0.03,0.16,0.14,0.1,-0.15,-0.02,10.14,18.38,27.11,68.06,363.12,119.17,7.84,9.17,83.99,6.87,8.72,80.79,2.98,6.77,45.53,0.42,0.29,0.23,10.22,1.9,1.18,0.59,0.76,0.58,0.49,1.86,26.39,1.34,17.12,3.85,22.97,6.5,6.2,4.16,1.4,0.04,-0.08,1.45,1.58,3.43,0.4,-0.09,"A",2020
"13","I. Namirimu","Thaijagypt","FW","Fanatical Outlaws",29,1990,19.63,0.47,3.34,1.6,44.81,3.44,1.5,0.21,0.32,13.34,-0.06,0.1,-0.03,0.53,0.61,0.07,-0.09,-0.15,19.66,16.57,25.98,64.04,261.59,66.1,9.26,11.85,78.83,4.84,7.8,62.23,1.62,3.45,47,0.24,0.16,-0.04,19.6,0.65,0.42,0.18,0.27,0.23,0,0.62,14.39,0.61,17.21,3.89,23,1.56,7.68,7.88,1.38,0.16,0.02,1.06,0.5,1.08,0.43,-0.05,"A",2020
"24","J. Akello","Bernepamar","MFFW","Fanatical Outlaws",29,1989,10.93,0.42,2.39,1.12,46.13,2.27,1.03,0.2,0.42,17.4,0.11,-0.08,0.1,0.18,0.16,0.05,0.31,0.32,10.92,30.8,38.51,79.62,505.32,125.48,17.41,19.48,89.32,8.43,10.41,80.69,3.7,6.31,58.57,0.13,0.3,-0.17,11.08,1.45,0.83,0.66,0.66,0.18,0.4,1.96,23.83,1.36,15.27,4.12,27.43,3.79,6.98,4.49,0.69,0.06,0.06,0.62,0.33,1.58,0.6,0.05,"A",2020
"25","I. Kamukama","Lefghau","MFFW","Fanatical Outlaws",26,1993,16.57,0.16,1.46,0.39,34.88,1.37,0.44,0.11,0.15,16.65,0.04,0.08,0.07,0.24,0.14,0.01,0,-0.09,16.61,43.67,56.39,77.52,726.22,211.16,23.86,28.32,84.55,14.19,18.02,78.52,4.3,6.14,69.95,0.29,0.15,0.02,16.64,2.74,1.9,1.23,1.02,0.43,0.65,2.79,22.81,2.31,22.35,6.18,28.17,5.63,11.34,5.33,1.33,0.02,-0.01,1.21,0.85,3.46,0.79,-0.05,"A",2020
"26","W. Lew","Nganion","MFFW","Fanatical Outlaws",23,1996,24.11,0.05,1.54,0.58,32.39,1.54,0.57,0.1,0.26,16.78,0.03,-0.09,-0.03,0.09,0.1,0.04,0.04,-0.01,24,28.21,37.24,75.79,454.91,125.52,15.63,17.61,88.29,8.43,11.38,75.33,2.94,5.18,56.53,0.23,0.14,0.14,24.11,1.82,1.11,0.61,0.68,0.36,0.73,2.85,22.98,2.28,24.81,6.39,26.15,6.36,11.39,7.01,2.17,0.03,-0.03,2.14,0.65,2.44,0.43,-0.06,"A",2020
"27","M. Namukwaya","Ngoque Blicri","MFFW","Fanatical Outlaws",31,1987,16.81,0.26,1.18,0.64,47.57,1.21,0.6,0.18,0.59,16.39,-0.07,0.04,0.09,0.18,0.21,0.11,0.11,0.09,16.9,25.87,37.71,68.45,475.4,159.09,12.21,15.28,80.53,8.64,10.86,80.15,4.28,9.63,44.44,0.23,0.09,0.16,16.71,1.7,0.57,1.05,0.53,-0.04,0.61,2.31,25.09,1.73,21.83,5.32,24.57,6.93,11.04,3.78,1.27,0.22,-0.06,1.13,0.1,1.58,0.99,-0.09,"A",2020
"28","U. Pichler","Quewenia","MFFW","Fanatical Outlaws",22,1997,1.54,-0.03,1.99,0.01,-0.07,1.87,0.01,0.1,NA,14.13,-0.05,-0.03,-0.08,0.06,0.08,0.05,-0.13,-0.05,1.59,10.07,12.08,83.28,101.29,5.26,7.91,7.92,100.05,1.42,3.31,40.09,-0.07,0.02,NA,0.08,0.14,-0.12,1.42,0.6,0.03,0.1,0.02,0.69,0.07,-0.01,NA,0.03,14.02,0.7,4.89,2.01,4.04,8.02,0.01,-0.06,-0.04,-0.08,0.64,1.23,0.05,0.04,"A",2020
"29","H. Tourgeman","Rarita","MFFW","Fanatical Outlaws",26,1993,15.32,-0.03,1.55,0.49,30.33,1.59,0.39,0.04,0.07,18.07,0.15,-0.01,0.01,0.18,0.17,0.05,-0.19,-0.17,15.22,44.13,52.13,84.5,716.33,203.62,24.25,26.88,90.1,13.4,15.48,87.65,4.37,7.19,62.42,0.18,0.14,0.01,15.39,0.65,0.65,0.48,0.23,0.14,0.39,2.39,13.58,1.99,22.49,4.97,22.1,4.94,12.87,4.49,0.7,0.14,0.09,0.75,0.62,1.22,0.31,-0.05,"A",2020
