"","�..Player","Nation","Pos","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Performance.PK","Performance.PKatt","Standard.FK","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err"
"6","D. Lal","Bernepamar","FW",25,1995,4.75,0.46,2.19,1.24,54.41,2.26,1.25,0.2,0.26,18.05,-0.09,-0.02,0.06,0.18,0.19,0.13,0.19,0.1,20.23,23.94,84.27,278.09,33.08,14.32,15.75,90.8,3.73,4.72,78.31,1.55,1.62,87.5,0.22,-0.03,0.09,0.51,0.99,0.48,-0.06,1.52,0.91,0.39,0.34,0.19,0.2,-0.01,0.9,0.07,0.77,17.16,3.1,18.38,1.79,8.97,6.16,0.37,0.04,-0.09,0.45,0.49,1.2,0.31,-0.02
"7","E. Twinamatsiko","Bernepamar","FW",24,1996,0.01,0.1,-0.1,-0.03,NA,-0.01,-0.01,NA,NA,NA,-0.02,0.07,-0.08,-0.05,-0.07,NA,-0.04,-0.09,40.01,40.01,100.04,700.09,410.02,10.04,10.09,100.08,29.98,30.06,100.1,-0.06,0.06,NA,0,-0.04,0.02,-0.06,0.01,0.1,0.06,0.07,-0.05,-0.05,-0.04,0.1,0.09,0.08,-0.04,NA,-0.09,-0.09,-0.03,NA,-0.07,0.05,0.09,-0.05,-0.1,-0.07,0.04,0.02,0.02,0.05,-0.04
"8","J. Akello","Bernepamar","FW",31,1989,4.9,0.43,2.09,1.02,50.09,2.04,1.06,0.15,0.48,13.21,0.03,-0.07,-0.1,0.29,0.45,0.15,0.03,-0.04,24.14,33.07,72.77,381.32,91.22,12.91,15.19,85.02,8.36,10.72,77.49,2.12,3.3,62.51,0.49,0.07,0.35,1.3,2.14,1.42,0.15,2.63,0.52,0.43,-0.09,0.7,-0.09,0.01,0.53,-0.05,0.55,13.21,3.7,27.79,2.39,8,2.94,0.83,-0.07,-0.01,0.91,0.3,0.72,0.66,-0.06
"9","R. Velásquez","Bernepamar","FW",23,1997,1.55,0.09,0.53,-0.07,-0.04,0.64,-0.04,0.07,NA,11.97,0.03,-0.09,-0.01,0.17,0.3,0.3,-0.2,-0.21,36.25,47.46,76.33,524.93,91.21,20.61,25.08,82.54,10.65,13.08,81.02,2.48,3.76,66.7,0.02,-0.02,-0.05,1.24,1.22,1.2,0.04,3.77,0.63,0.67,0.07,0.61,-0.01,0.66,1.27,50.04,0.6,18.14,3.05,17.29,5.02,9.91,3.05,0.05,-0.05,-0.07,0.04,-0.01,0.72,0.54,-0.07
"10","V. Opiyo","Bernepamar","FW",23,1997,0.23,4.94,9.98,5.03,50.05,12.03,5.95,0.58,0.98,8.94,-0.06,-0.1,0.04,3.47,3.46,0.37,1.59,1.56,19.99,25.09,80.01,214.92,55.03,20.06,19.95,100.05,0.05,0.05,NA,0.09,4.97,0.1,0,0.5,-0.51,4.95,0.05,-0.08,0.06,-0.1,-0.04,-0.03,0.09,0,-0.07,-0.1,-0.03,NA,-0.02,25.06,14.91,60.04,0.09,-0.08,25.05,0.05,0.02,0.04,0.03,0.06,0.01,0.05,0.08
"11","K. Salihovi?","Bernepamar","FWDF",24,1996,0.31,0.04,0.08,-0.06,NA,-0.09,0.01,NA,NA,NA,-0.04,0.05,-0.04,-0.1,-0.07,NA,-0.1,-0.07,20.01,25.08,80.07,362.53,62.41,12.48,14.97,83.39,5,7.55,66.64,2.42,2.46,100.05,0.03,0.02,0.08,2.56,0.06,0.06,-0.01,2.42,0,0,-0.03,0.04,0.04,0,0.04,NA,-0.05,19.92,5.03,24.9,5.01,10.04,5.07,4.9,0.05,-0.1,5.03,-0.1,-0.03,-0.08,0.07
"12","J. Otto","Bernepamar","FWMF",32,1988,0.81,-0.03,0.04,0.03,NA,-0.05,-0.05,NA,NA,NA,-0.01,-0.04,0.02,0.07,-0.03,NA,-0.08,-0.06,31.26,38.88,80.68,461.22,75.04,16.2,18.87,86.63,11.32,11.37,99.9,1.26,5.05,24.93,-0.03,0.01,0,-0.05,1.32,1.18,-0.02,1.21,3.83,0.09,1.23,0.01,2.5,1.18,2.43,49.93,1.25,16.27,5.07,30.72,7.44,6.17,2.56,0.09,-0.05,-0.03,-0.04,1.17,5.08,1.17,-0.09
"21","K. Mayanja","Bernepamar","MFFW",27,1993,3.14,0.07,2.88,0.97,33.3,2.9,1.01,0.02,-0.03,26.32,0.04,0.28,0.92,0.4,0.16,0.17,-0.5,-0.22,31.26,39.16,80.08,634.73,190.38,12.77,14.07,91.18,12.59,16,78.46,5.37,7.53,70.86,0.38,0.67,-0.42,2.71,2.85,2.13,-0.03,5.37,1.27,0.53,0.58,0.65,0.01,0.72,1.8,33.25,1.26,23.7,6.85,28.93,8.12,11.25,4.43,1.91,0.37,0,1.49,0.89,2.24,-0.06,-0.07
"30","L. Mhango","Byasier Pujan","DFFW",29,1991,0.68,0.02,1.61,0.07,-0.07,1.68,-0.04,0.1,NA,15.09,0.01,-0.09,0,0.1,0.09,-0.03,-0.01,0.06,36.61,61.66,59.59,663.27,256.62,18.37,25.03,73.34,15.09,18.34,81.76,3.35,13.37,24.94,-0.07,0.08,-0.22,3.38,3.35,1.65,-0.02,8.24,0.02,0.1,0.02,0.09,0.01,-0.01,1.75,0.05,1.66,21.65,1.74,7.7,11.61,5.08,4.93,4.96,1.58,-0.02,3.25,1.57,1.67,-0.08,0.08
"32","E. Lam","Byasier Pujan","FW",28,1992,2.12,0.41,2.39,1.02,39.99,2.35,0.97,0.17,0.58,15.71,0.09,0.01,-0.03,0.19,0.3,0.12,0.14,0.23,17.18,25.18,67.92,212.89,30.96,11.09,14.36,76.7,3.85,7.56,49.93,0.92,0.99,99.95,0.01,0.52,-0.47,1.48,0.08,0.57,-0.01,0.57,3.08,1.19,1.54,1.62,0.06,1.15,1.12,99.96,0.04,15.84,4.64,29.21,6.61,8.37,0.78,1.52,0.81,0,0.68,0.81,3.93,5.36,0.04
