"","Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","X90s.1","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","X90s.2","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","Playing.Time.MP","Playing.Time.Starts","Playing.Time.Min","Playing.Time.90s","Performance.GA","Performance.GA90","Performance.SoTA","Performance.Saves","Performance.Save.","W","D","L","Performance.CS","Performance.CS.","Performance.PKatt","Penalty.Kicks.PKA","Penalty.Kicks.PKsv","Penalty.Kicks.PKm","Penalty.Kicks.Save.","League","Year"
"14","F. Dauda","Nganion","GK","Fanatical Outlaws",33,1986,7.55,-0.02,0.04,-0.05,NA,0,-0.01,NA,NA,NA,-0.05,-0.09,-0.09,0.02,-0.04,NA,-0.09,-0.03,7.53,14.98,30.58,48.65,586.25,468.63,2.27,2.25,100.03,4.57,4.51,99.98,7.98,23.68,33.41,-0.05,0,0.07,7.61,0.08,0.06,-0.06,0.03,-0.06,0.08,0.06,NA,0.08,0,-0.01,NA,0.07,-0.09,0.08,0.1,0.06,0.08,-0.08,0.08,0.04,0.08,-0.09,7.91,7.07,686.91,7.62,2.25,2.27,6.62,4.8,68.69,0.05,0.22,0.87,-0.07,0.1,0.11,0.11,-0.05,0.07,-0.04,"A",2020
"15","S. Kiconco","Nkasland Cronestan","GK","Fanatical Outlaws",34,1985,23.43,0.02,-0.07,0.02,NA,-0.1,-0.02,NA,NA,NA,-0.05,-0.09,-0.07,-0.01,-0.01,NA,0.04,0.07,23.42,16.15,28.7,56.23,731.62,566.82,1.04,1.16,99.9,3.85,4.02,97.9,11.04,23.46,47.44,0.02,0.09,-0.05,23.51,-0.08,0.09,-0.01,-0.09,0,0.07,0.06,0,0.12,0.46,0.17,19.99,0.44,-0.01,-0.09,-0.04,0,0.05,-0.08,-0.09,-0.02,0.19,0.1,24.93,24.92,2117.03,23.47,1.48,1.42,4.26,2.97,68.39,0.3,0.28,0.41,0.25,20.06,0.18,0.06,0.1,0.01,24.94,"A",2020
"16","R. Namuganza","People's Land of Maneau","GK","Fanatical Outlaws",33,1986,4.73,0.1,-0.09,-0.08,NA,0.01,-0.07,NA,NA,NA,0.03,0.05,0.07,0.06,-0.09,NA,-0.07,0.08,4.78,11.44,25.87,44.31,595.37,502.39,0.14,0.28,100,2.04,2.15,99.9,9.21,23.49,38.82,-0.08,-0.03,-0.08,4.89,-0.01,0.07,-0.1,0.02,-0.09,-0.01,-0.04,NA,-0.03,0.17,0.26,100.01,0.21,-0.06,-0.06,0.16,0.08,0.02,0.25,-0.03,-0.04,0.08,0.19,5.03,4.07,435.93,4.88,1.3,1.24,4.16,2.91,69.97,0.45,-0.02,0.35,0.44,50.04,0.04,-0.06,0.08,-0.04,NA,"A",2020
"17","R. Chee","Southslands","GK","Fanatical Outlaws",32,1987,1.93,0.09,0.05,-0.07,NA,-0.02,0.02,NA,NA,NA,0.04,0.03,0.02,-0.04,0.02,NA,-0.04,-0.06,1.91,10.97,19.99,55.09,621.96,546.47,0.92,1.09,100.03,0.03,-0.03,NA,10.09,18.92,52.63,-0.02,-0.06,0.03,2.01,0.03,-0.03,-0.08,-0.1,-0.09,0.02,0.03,NA,-0.02,-0.06,0.02,NA,0.08,-0.01,0.06,0.06,-0.01,0.04,0.1,0.05,0,-0.09,0.09,2.03,2,180.09,2,2.4,2.49,4.46,2.45,55.66,-0.03,0.59,0.45,-0.01,-0.06,0.59,0.57,-0.06,0.06,-0.03,"A",2020
"45","Z. Marini","Central Republic of Boekrainego","GK","Fighting Cougars",27,1992,37.99,-0.06,-0.03,-0.01,NA,0.05,-0.09,NA,NA,NA,0.06,-0.05,-0.08,0.04,0.04,NA,0,0.04,37.9,30.84,38.57,80.23,903.2,508.22,5.42,5.55,99.12,14.08,14.26,99.38,11.28,18.58,60.32,0.05,0.06,0.05,37.97,-0.02,0.08,-0.03,-0.05,-0.01,-0.04,0.11,0,0.18,0.36,0.15,40.01,0.25,0,-0.01,-0.07,-0.02,0.01,0.01,0.1,0.06,0,0.08,37.9,37.99,3420.04,38.05,1.33,1.48,4.32,3.08,68.33,0.33,0.32,0.37,0.3,23.63,0.03,0.1,0.07,-0.02,-0.02,"A",2020
"70","K. Smits","People's Land of Maneau","GK","Great Galactic Gorgons",29,1990,1.99,0.02,0.09,-0.1,NA,0.09,-0.07,NA,NA,NA,-0.07,-0.05,-0.03,-0.06,-0.08,NA,-0.09,0.03,2.09,9.54,24.05,39.53,473.06,367.9,0,0.09,NA,4.03,4.09,99.91,5.49,19.95,27.45,0.01,0.02,-0.06,1.99,-0.06,-0.09,-0.09,0.1,0.03,0,0.4,0.03,0.48,1.56,0.09,-0.09,1.51,0.05,0.09,0.04,-0.09,0,0.04,-0.05,-0.01,0.03,-0.09,2.05,2.05,179.95,2.03,3.04,3.03,5.93,2.93,50,-0.09,0.55,0.51,-0.09,0.07,0.01,0.04,-0.07,0.01,NA,"A",2020
"71","P. Kabugo","People's Land of Maneau","GK","Great Galactic Gorgons",22,1997,35.97,0.05,0.11,0.05,-0.09,0.01,-0.01,-0.08,NA,7.34,-0.04,-0.07,-0.07,0.06,-0.08,0.14,-0.08,-0.07,36.02,11.76,28.84,41,586.82,474.3,0.89,0.97,97.05,2.67,2.77,97.1,8.13,25.09,32.58,0.07,-0.03,0.08,35.97,-0.02,0.09,-0.05,-0.06,0.01,0.1,-0.05,NA,0.02,-0.05,-0.03,-0.02,0.12,-0.07,0.06,0.07,0.03,0.1,-0.03,-0.08,-0.02,0.06,0.02,36.05,36.09,3239.9,36.05,0.99,0.84,3.52,2.72,75.22,0.36,0.22,0.27,0.35,36.17,0.16,0.08,-0.07,0.05,50.02,"A",2020
"99","G. Mwebaze","Nganion","GK","Green Fleet",28,1990,37.95,0.02,-0.09,0.02,NA,-0.04,-0.01,NA,NA,NA,0.07,0.06,-0.08,0.02,-0.02,NA,0.09,-0.05,37.99,19.05,24.58,77.65,496.62,290.09,4.92,5.08,100,8.99,9.04,98.57,5.17,10.3,49.49,0.07,-0.01,0.07,37.9,0.04,-0.04,0.04,-0.04,0.07,0.1,-0.07,NA,0,0.12,-0.09,0.01,0.07,-0.07,0.02,-0.06,-0.09,0.07,-0.04,-0.03,0.1,-0.07,-0.03,37.91,38.01,3420.08,37.94,0.89,0.96,3.22,2.46,73.54,0.54,0.22,0.14,0.35,34.16,-0.01,0.16,0.05,-0.02,0.06,"A",2020
"128","R. Wanyama","Imaar Vircoand","GK","Horrible Grizzlies",37,1981,5,0.08,0.02,0.05,NA,0.08,0.05,NA,NA,NA,0.02,-0.01,-0.08,0.05,-0.06,NA,-0.04,0.04,4.95,24.18,33.04,73.25,680.53,435.43,4.56,4.51,99.9,11,10.97,100.01,8.59,17.46,49.37,-0.06,-0.07,0.04,5.1,-0.06,0.08,-0.04,-0.09,0.05,-0.01,0.08,NA,-0.09,0.02,-0.04,NA,0.02,-0.08,0.04,0.07,-0.09,0.06,0.01,-0.08,0.09,0.29,0.05,4.99,5.02,449.99,4.99,1.48,1.4,3.26,2.01,56.27,0.35,0.39,0.15,0.12,20.05,-0.06,0.06,-0.05,-0.06,NA,"A",2020
"129","J. Nkrumah","Nganion","GK","Horrible Grizzlies",24,1994,33.04,0,0.09,-0.07,NA,0.04,0.1,NA,NA,NA,0.06,-0.01,0.03,0.02,0.08,NA,-0.06,0.05,32.99,26.51,32.91,80.78,717.48,372.02,3.39,3.29,99.18,15.32,15.5,98.89,7.95,14.09,56.54,0.01,-0.02,-0.03,33.01,0.05,-0.08,0.1,-0.08,0.06,-0.09,0.08,0.03,0.06,0.08,0.07,33.32,0.16,-0.08,-0.08,0.1,-0.08,-0.09,0.05,0.08,0.05,0.02,0.07,33.07,33,2969.9,32.99,1.41,1.38,3.04,1.6,54.42,0.56,0.07,0.31,0.31,24.23,-0.01,0.14,-0.04,0,0,"A",2020
