Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
I. Winter,Danan Seekeeling,DF,Fanatical Outlaws,27,1991,13,0.07,0.77,0.39,40.03,0.84,0.31,0.06,0.28,7.28,-0.1,-0.03,0.02,0.22,0.1,0.08,-0.09,-0.13,A,2020
P. Nakubulwa,Dosqaly,DF,Fanatical Outlaws,22,1997,30.77,0.14,0.41,0.12,40.07,0.55,0.29,0.13,0.52,7.79,-0.09,0.1,0.03,-0.04,-0.02,0.16,0.08,0.08,A,2020
M. Mahlangu,Imaar Vircoand,DF,Fanatical Outlaws,34,1985,6.53,0.04,0.12,0.04,-0.02,0.09,0.05,-0.05,,12.19,-0.09,0.03,0.09,0.1,0.02,0.04,0.03,-0.07,A,2020
I. Huber,Lenia Gerdanho,DF,Fanatical Outlaws,25,1993,10.49,-0.04,0.53,0.25,39.91,0.4,0.28,0,0.01,29.28,-0.02,0.08,0,0.09,0.04,-0.03,0.02,-0.07,A,2020
A. Kobusingye,People's Land of Maneau,DF,Fanatical Outlaws,18,2000,4.93,0.03,0.16,0.11,100.06,0.25,0.3,-0.02,-0.1,24.91,0.03,-0.03,-0.06,-0.07,-0.08,0.04,0,-0.02,A,2020
F. Kizito,People's Land of Maneau,DF,Fanatical Outlaws,19,2000,3.01,-0.07,0.41,0.02,0.04,0.27,0.04,-0.04,,28.38,0.09,0.04,-0.08,0,0,-0.06,0.06,-0.03,A,2020
J. Bala,People's Land of Maneau,DF,Fanatical Outlaws,26,1992,24.99,-0.05,0.22,0.08,-0.09,0.15,0.07,-0.04,,21.7,-0.1,0.1,0.08,0.02,-0.07,0,-0.06,0.03,A,2020
L. Rezaei,People's Land of Maneau,DF,Fanatical Outlaws,29,1989,30.26,0.03,0.5,0.07,27.82,0.58,0.1,0.1,0.57,20.14,0.16,0.03,0.04,0.1,0.03,0.14,0.07,0.03,A,2020
J. Teko,Sobianitedrucy,DF,Fanatical Outlaws,31,1988,30.93,0.01,0.4,0.08,28.54,0.48,0.09,0.11,0.45,9.71,-0.07,0,0.08,-0.01,0.1,0.09,0,0.11,A,2020
D. Oren,Central Diasongo,FW,Fanatical Outlaws,25,1994,25.14,0.32,2.22,1.05,49.11,2.25,1.11,0.03,0.35,10.31,-0.1,-0.07,-0.05,0.39,0.27,0.21,-0.08,0.01,A,2020
F. Lubowa,Newgan Ruland,FW,Fanatical Outlaws,31,1988,1.22,0.86,2.47,1.57,66.75,2.57,1.71,0.41,0.43,16.46,0.9,-0.05,-0.09,0.68,0.72,0.29,0.13,0.14,A,2020
B. De Rosa,People's Land of Maneau,FW,Fanatical Outlaws,22,1996,10.1,0.19,2.38,0.74,29.18,2.31,0.78,0.1,0.19,17.86,-0.07,0.08,-0.03,0.16,0.14,0.1,-0.15,-0.02,A,2020
I. Namirimu,Thaijagypt,FW,Fanatical Outlaws,29,1990,19.63,0.47,3.34,1.6,44.81,3.44,1.5,0.21,0.32,13.34,-0.06,0.1,-0.03,0.53,0.61,0.07,-0.09,-0.15,A,2020
F. Dauda,Nganion,GK,Fanatical Outlaws,33,1986,7.55,-0.02,0.04,-0.05,,0,-0.01,,,,-0.05,-0.09,-0.09,0.02,-0.04,,-0.09,-0.03,A,2020
S. Kiconco,Nkasland Cronestan,GK,Fanatical Outlaws,34,1985,23.43,0.02,-0.07,0.02,,-0.1,-0.02,,,,-0.05,-0.09,-0.07,-0.01,-0.01,,0.04,0.07,A,2020
R. Namuganza,People's Land of Maneau,GK,Fanatical Outlaws,33,1986,4.73,0.1,-0.09,-0.08,,0.01,-0.07,,,,0.03,0.05,0.07,0.06,-0.09,,-0.07,0.08,A,2020
R. Chee,Southslands,GK,Fanatical Outlaws,32,1987,1.93,0.09,0.05,-0.07,,-0.02,0.02,,,,0.04,0.03,0.02,-0.04,0.02,,-0.04,-0.06,A,2020
F. Pop,Galamily,MF,Fanatical Outlaws,24,1995,11.53,0.18,1.55,0.57,36.72,1.54,0.63,0.13,0.48,12.08,0.05,0.07,-0.03,0.17,0.17,0.16,0,-0.02,A,2020
D. Alshehri,People's Land of Maneau,MF,Fanatical Outlaws,32,1987,29.8,0.05,0.4,0.01,21.43,0.45,0.04,0.13,0.32,24.75,0.03,0.11,0.06,0.12,0.07,-0.03,-0.03,-0.07,A,2020
I. Iddrisu,People's Land of Maneau,MF,Fanatical Outlaws,20,1999,38.08,-0.02,0.84,0.29,30.05,0.71,0.21,-0.04,0.17,22.63,0.05,0.01,0.04,-0.01,0.08,-0.06,0.02,-0.09,A,2020
L. Goodarzi,People's Land of Maneau,MF,Fanatical Outlaws,27,1992,2.49,-0.01,0.05,0.01,,0.05,-0.07,,,,-0.08,0.02,-0.05,0.07,0.03,,-0.05,0.05,A,2020
Y. Joseph,People's Land of Maneau,MF,Fanatical Outlaws,21,1998,0.47,0.09,2.53,2.59,100.08,2.71,2.8,-0.1,-0.03,23.95,0.08,0.08,0.06,0.01,-0.07,0.06,-0.05,0,A,2020
I. Horváth,Western Niasland,MFDF,Fanatical Outlaws,33,1986,1.27,0.06,0.08,0.1,,-0.06,-0.08,,,,-0.07,0.09,-0.03,0,-0.05,,-0.1,0.05,A,2020
J. Akello,Bernepamar,MFFW,Fanatical Outlaws,29,1989,10.93,0.42,2.39,1.12,46.13,2.27,1.03,0.2,0.42,17.4,0.11,-0.08,0.1,0.18,0.16,0.05,0.31,0.32,A,2020
I. Kamukama,Lefghau,MFFW,Fanatical Outlaws,26,1993,16.57,0.16,1.46,0.39,34.88,1.37,0.44,0.11,0.15,16.65,0.04,0.08,0.07,0.24,0.14,0.01,0,-0.09,A,2020
W. Lew,Nganion,MFFW,Fanatical Outlaws,23,1996,24.11,0.05,1.54,0.58,32.39,1.54,0.57,0.1,0.26,16.78,0.03,-0.09,-0.03,0.09,0.1,0.04,0.04,-0.01,A,2020
M. Namukwaya,Ngoque Blicri,MFFW,Fanatical Outlaws,31,1987,16.81,0.26,1.18,0.64,47.57,1.21,0.6,0.18,0.59,16.39,-0.07,0.04,0.09,0.18,0.21,0.11,0.11,0.09,A,2020
U. Pichler,Quewenia,MFFW,Fanatical Outlaws,22,1997,1.54,-0.03,1.99,0.01,-0.07,1.87,0.01,0.1,,14.13,-0.05,-0.03,-0.08,0.06,0.08,0.05,-0.13,-0.05,A,2020
H. Tourgeman,Rarita,MFFW,Fanatical Outlaws,26,1993,15.32,-0.03,1.55,0.49,30.33,1.59,0.39,0.04,0.07,18.07,0.15,-0.01,0.01,0.18,0.17,0.05,-0.19,-0.17,A,2020
R. Petrenko,Lefghau,DF,Fighting Cougars,24,1995,7.41,-0.02,1.02,0.17,28.64,0.96,0.26,0.02,-0.05,18.11,-0.1,0.04,0.09,-0.04,0.02,0.11,-0.01,-0.09,A,2020
Z. Salisu,Nganion,DF,Fighting Cougars,28,1991,21.2,-0.09,0.3,0.07,37.5,0.46,0.16,0.07,-0.05,16.63,-0.02,-0.07,0.01,0.08,0.13,0.23,-0.1,-0.05,A,2020
D. Ikeda,People's Land of Maneau,DF,Fighting Cougars,27,1991,35.84,0.14,0.87,0.28,33.37,0.9,0.28,0.12,0.22,10.93,0.05,0.02,0.08,0.09,0.02,0.23,-0.07,-0.06,A,2020
I. Ludwig,People's Land of Maneau,DF,Fighting Cougars,27,1992,31.95,0.01,0.36,0.1,0.08,0.31,0.08,-0.03,,11.69,-0.09,-0.05,-0.01,0.14,0.06,0.02,-0.03,-0.03,A,2020
K. Tóth,People's Land of Maneau,DF,Fighting Cougars,24,1995,29.58,0.16,0.48,0.24,43.77,0.57,0.2,0.27,0.43,13.18,0.07,-0.01,-0.08,0.14,0.03,0.07,0.11,0.15,A,2020
U. Ortíz,People's Land of Maneau,DF,Fighting Cougars,18,2000,6.5,-0.04,0.29,-0.09,-0.03,0.34,0.03,-0.09,,24.48,0.04,0.04,0.03,0.02,-0.02,0.1,-0.01,0.05,A,2020
O. Ilukol,Sobianitedrucy,DF,Fighting Cougars,30,1989,4.1,-0.04,1.32,0.21,19.96,1.26,0.27,-0.06,0.09,15.11,0,0.02,-0.07,0.05,0.16,-0.03,-0.01,-0.03,A,2020
