"","�..Player","Nation","Pos","Squad","Age","Born","X90s","Gls","Standard.Sh","Standard.SoT","Standard.SoT.","Standard.Sh.90","Standard.SoT.90","Standard.G.Sh","Standard.G.SoT","Standard.Dist","Standard.FK","Performance.PK","Performance.PKatt","Expected.xG","Expected.npxG","Expected.npxG.Sh","Expected.G.xG","Expected.np.G.xG","Total.Cmp","Total.Att","Total.Cmp.","Total.TotDist","Total.PrgDist","Short.Cmp","Short.Att","Short.Cmp.","Medium.Cmp","Medium.Att","Medium.Cmp.","Long.Cmp","Long.Att","Long.Cmp.","Ast","xA","A.xA","KP","X1.3","PPA","CrsPA","Prog","Tackles.Tkl","Tackles.TklW","Tackles.Def.3rd","Tackles.Mid.3rd","Tackles.Att.3rd","Vs.Dribbles.Tkl","Vs.Dribbles.Att","Vs.Dribbles.Tkl.","Vs.Dribbles.Past","Pressures.Press","Pressures.Succ","Pressures..","Pressures.Def.3rd","Pressures.Mid.3rd","Pressures.Att.3rd","Blocks.Blocks","Blocks.Sh","Blocks.ShSv","Blocks.Pass","Int","Tkl.Int","Clr","Err","League","Year"
"18","F. Pop","Galamily","MF","Fanatical Outlaws",24,1995,11.53,0.18,1.55,0.57,36.72,1.54,0.63,0.13,0.48,12.08,0.05,0.07,-0.03,0.17,0.17,0.16,0,-0.02,23.69,33.75,69.86,418.28,100.35,10.46,14.35,73.03,9.71,13.21,72.76,2.58,4.16,61.18,-0.02,0.03,-0.05,0.19,2.12,0.43,0.09,1.94,3.02,2.11,1.24,1.53,0.29,0.36,1.7,26.2,1.3,20.72,6.65,32.05,8.26,8.83,3.59,1.31,0.2,-0.05,1.03,1.38,4.25,3.26,-0.07,"A",2020
"19","D. Alshehri","People's Land of Maneau","MF","Fanatical Outlaws",32,1987,29.8,0.05,0.4,0.01,21.43,0.45,0.04,0.13,0.32,24.75,0.03,0.11,0.06,0.12,0.07,-0.03,-0.03,-0.07,41.03,50.5,81.18,829.39,236.74,15.99,18.21,87.39,16.98,19.69,85.76,7.35,10.32,71.38,0.19,0.03,0.08,1.42,4.65,1.04,0.07,4.61,1.75,1.18,0.64,0.75,0.26,0.57,2.29,23.28,1.7,16.99,4.66,27.04,5.4,8.63,2.87,0.95,0.22,0.02,0.75,0.6,2.41,0.39,-0.09,"A",2020
"20","I. Iddrisu","People's Land of Maneau","MF","Fanatical Outlaws",20,1999,38.08,-0.02,0.84,0.29,30.05,0.71,0.21,-0.04,0.17,22.63,0.05,0.01,0.04,-0.01,0.08,-0.06,0.02,-0.09,38.71,45.25,86.1,790.14,198.55,14.3,15.75,91.05,17.01,18.44,91.71,6.7,9.11,72.11,0.13,0,-0.04,0.58,4.13,0.5,0.16,2.86,3.17,2.44,1.72,1.31,0.05,0.82,2.56,33.77,1.61,21.66,6.22,28.93,10.18,10.09,1.21,1.71,0.31,-0.09,1.62,1.31,4.46,1.59,0.01,"A",2020
"21","L. Goodarzi","People's Land of Maneau","MF","Fanatical Outlaws",27,1992,2.49,-0.01,0.05,0.01,NA,0.05,-0.07,NA,NA,NA,-0.08,0.02,-0.05,0.07,0.03,NA,-0.05,0.05,25.34,30.33,83.58,351.28,67.97,16.23,18.35,88.58,7.55,8.73,85.67,1.26,2.16,59.9,-0.04,-0.04,-0.05,-0.09,0.77,-0.1,0.08,0.48,0.46,0.08,0.07,0.41,0.04,0.52,2.48,16.61,2.01,26.32,8.75,33.21,6.24,14.23,5.8,2.45,-0.09,0.08,2.52,-0.03,0.33,0.42,0.01,"A",2020
"22","Y. Joseph","People's Land of Maneau","MF","Fanatical Outlaws",21,1998,0.47,0.09,2.53,2.59,100.08,2.71,2.8,-0.1,-0.03,23.95,0.08,0.08,0.06,0.01,-0.07,0.06,-0.05,0,27.41,34.92,78.64,342.47,122.51,19.96,22.51,88.94,7.59,12.41,59.97,-0.08,0.02,NA,-0.01,-0.01,-0.09,-0.07,-0.05,0.07,-0.09,0.04,2.45,0.04,2.41,0.03,0.05,0.09,0.03,NA,0,32.45,10,30.74,12.56,10.05,10.07,2.45,-0.02,0.09,2.51,0.01,2.53,-0.03,0.03,"A",2020
"23","I. Horváth","Western Niasland","MFDF","Fanatical Outlaws",33,1986,1.27,0.06,0.08,0.1,NA,-0.06,-0.08,NA,NA,NA,-0.07,0.09,-0.03,0,-0.05,NA,-0.1,0.05,34.65,42.29,81.8,634.63,167.65,12.24,13.86,88.88,16.82,20.76,81.47,4.53,6.82,66.74,0.03,-0.05,-0.07,-0.08,1.56,0.02,0.06,1.5,1.52,0.73,0.01,1.47,0,0.8,0.85,99.93,-0.01,19.99,4.56,23.04,4.56,13.71,1.5,1.53,0.04,0,1.52,1.56,3.13,3.89,0.03,"A",2020
"24","J. Akello","Bernepamar","MFFW","Fanatical Outlaws",29,1989,10.93,0.42,2.39,1.12,46.13,2.27,1.03,0.2,0.42,17.4,0.11,-0.08,0.1,0.18,0.16,0.05,0.31,0.32,30.8,38.51,79.62,505.32,125.48,17.41,19.48,89.32,8.43,10.41,80.69,3.7,6.31,58.57,0.13,0.3,-0.17,1.64,1.24,1.05,0.34,3.18,1.45,0.83,0.66,0.66,0.18,0.4,1.96,23.83,1.36,15.27,4.12,27.43,3.79,6.98,4.49,0.69,0.06,0.06,0.62,0.33,1.58,0.6,0.05,"A",2020
"25","I. Kamukama","Lefghau","MFFW","Fanatical Outlaws",26,1993,16.57,0.16,1.46,0.39,34.88,1.37,0.44,0.11,0.15,16.65,0.04,0.08,0.07,0.24,0.14,0.01,0,-0.09,43.67,56.39,77.52,726.22,211.16,23.86,28.32,84.55,14.19,18.02,78.52,4.3,6.14,69.95,0.29,0.15,0.02,1.5,2.86,1.95,0.32,5.05,2.74,1.9,1.23,1.02,0.43,0.65,2.79,22.81,2.31,22.35,6.18,28.17,5.63,11.34,5.33,1.33,0.02,-0.01,1.21,0.85,3.46,0.79,-0.05,"A",2020
"26","W. Lew","Nganion","MFFW","Fanatical Outlaws",23,1996,24.11,0.05,1.54,0.58,32.39,1.54,0.57,0.1,0.26,16.78,0.03,-0.09,-0.03,0.09,0.1,0.04,0.04,-0.01,28.21,37.24,75.79,454.91,125.52,15.63,17.61,88.29,8.43,11.38,75.33,2.94,5.18,56.53,0.23,0.14,0.14,0.65,2.09,1.16,0.34,2.74,1.82,1.11,0.61,0.68,0.36,0.73,2.85,22.98,2.28,24.81,6.39,26.15,6.36,11.39,7.01,2.17,0.03,-0.03,2.14,0.65,2.44,0.43,-0.06,"A",2020
"27","M. Namukwaya","Ngoque Blicri","MFFW","Fanatical Outlaws",31,1987,16.81,0.26,1.18,0.64,47.57,1.21,0.6,0.18,0.59,16.39,-0.07,0.04,0.09,0.18,0.21,0.11,0.11,0.09,25.87,37.71,68.45,475.4,159.09,12.21,15.28,80.53,8.64,10.86,80.15,4.28,9.63,44.44,0.23,0.09,0.16,2.02,1.81,0.79,0.21,2.8,1.7,0.57,1.05,0.53,-0.04,0.61,2.31,25.09,1.73,21.83,5.32,24.57,6.93,11.04,3.78,1.27,0.22,-0.06,1.13,0.1,1.58,0.99,-0.09,"A",2020
"28","U. Pichler","Quewenia","MFFW","Fanatical Outlaws",22,1997,1.54,-0.03,1.99,0.01,-0.07,1.87,0.01,0.1,NA,14.13,-0.05,-0.03,-0.08,0.06,0.08,0.05,-0.13,-0.05,10.07,12.08,83.28,101.29,5.26,7.91,7.92,100.05,1.42,3.31,40.09,-0.07,0.02,NA,0.08,0.14,-0.12,1.37,0,0.07,-0.01,0.05,0.6,0.03,0.1,0.02,0.69,0.07,-0.01,NA,0.03,14.02,0.7,4.89,2.01,4.04,8.02,0.01,-0.06,-0.04,-0.08,0.64,1.23,0.05,0.04,"A",2020
"29","H. Tourgeman","Rarita","MFFW","Fanatical Outlaws",26,1993,15.32,-0.03,1.55,0.49,30.33,1.59,0.39,0.04,0.07,18.07,0.15,-0.01,0.01,0.18,0.17,0.05,-0.19,-0.17,44.13,52.13,84.5,716.33,203.62,24.25,26.88,90.1,13.4,15.48,87.65,4.37,7.19,62.42,0.18,0.14,0.01,2.03,4.23,0.95,0.18,4.78,0.65,0.65,0.48,0.23,0.14,0.39,2.39,13.58,1.99,22.49,4.97,22.1,4.94,12.87,4.49,0.7,0.14,0.09,0.75,0.62,1.22,0.31,-0.05,"A",2020
"42","P. Chew","Esia","FWMF","Fighting Cougars",28,1991,19.94,0.01,1.41,0.47,30.96,1.4,0.47,0.09,0.28,22.15,0.3,0.04,-0.06,0.15,0.13,-0.01,0.09,0.09,38.14,51.32,74.18,743.34,230.8,16.9,19.12,87.84,14.5,17.17,84.08,6.23,12.72,49.36,0.19,0.26,-0.01,3.05,2.88,1.98,0.52,4.6,1.75,0.97,0.35,1.03,0.45,0.43,1.57,25.01,1.19,19.83,5.12,26.12,4,9.71,5.98,1.26,0.02,-0.07,1.3,0.44,2.05,0.52,0.08,"A",2020
"43","M. Hsieh","Lonnia Haba","FWMF","Fighting Cougars",25,1993,3.47,0.49,3.2,0.61,18.17,3.2,0.54,0.08,1.05,19.47,-0.01,0.09,-0.05,0.06,0.13,-0.02,0.52,0.37,23.94,40.04,59.9,334.32,107.69,15.37,18.54,83.02,6.29,13.01,47.82,1.73,5.62,29.95,0.04,0.02,-0.03,0.55,0.59,0.77,0.31,2.2,1.96,0.84,0.63,0.54,0.91,0.82,1.62,50.07,0.83,14.69,5.8,39.24,4.33,4.58,5.75,1.38,0.03,0.08,1.52,0.09,1.97,1.2,0,"A",2020
